,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
355,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.2,1
358,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.02,1
361,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.05,1
364,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.1,1
367,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.01,1
371,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.3,1
377,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.2,1
380,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.02,1
383,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.05,1
386,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.1,1
389,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.01,1
393,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.3,1
399,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.2,1
402,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.02,1
405,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.05,1
408,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.1,1
411,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.01,1
415,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.3,1
421,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.2,1
424,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.02,1
427,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.05,1
430,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.1,1
433,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.01,1
437,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.3,1
443,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.2,1
446,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.02,1
449,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.05,1
452,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.1,1
455,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.01,1
459,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.3,1
465,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.2,1
468,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.02,1
471,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.05,1
474,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.1,1
477,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.01,1
481,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 2.0",Recall,Threshold: 0.3,1
487,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.2,1
490,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.02,1
493,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.05,1
496,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.1,1
499,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.01,1
503,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 2.0",Recall,Threshold: 0.3,1
509,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.2,1
512,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.02,1
515,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.05,1
518,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.1,1
521,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.01,1
525,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.3,1
531,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.2,1
534,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.02,1
537,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.05,1
540,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.1,1
543,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.01,1
547,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.3,1
553,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.2,1
556,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.02,1
559,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.05,1
562,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.1,1
565,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.01,1
569,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.3,1
575,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.2,1
578,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.02,1
